event_id,titel,beschreibung,datum_start,datum_ende,zeitzone,ort_name,ort_adresse,ort_lat,ort_lon,kategorie,teilnehmer,veranstalter,kontakt_email,url,status,wiederholung
1,Pixel Arena Sommer-Cup,"Offenes Einsteigerturnier auf sechs Stationen. Gespielt wird in Zweierteams, Hardware steht bereit. Die Platzierungen fliessen in die Saisonwertung ein.",2026-07-03T17:00:00,2026-07-03T22:00:00,Europe/Berlin,Quest Arena Nord,"Musterweg 4, 73728 Esslingen",48.7462,9.3011,Turnier,Teams;Schiedsrichter;Zuschauer,Quest Guild Musterstadt,cup@example.org,https://questkalender.example.org/pixel-arena,abgeschlossen,
2,Level Up: Einstieg in die Spieleentwicklung,"Vierstuendiger Grundlagenkurs zu Szenenaufbau, Kollisionen und Steuerung. Laptops werden gestellt, Vorkenntnisse sind nicht erforderlich.",2026-07-08T14:00:00,2026-07-08T18:00:00,Europe/Berlin,Werkstatt Digital,"Beispielstrasse 22, 73730 Esslingen",48.7351,9.2934,Workshop,Dozentinnen;Einsteiger;Betreuung,Digitalwerkstatt Musterstadt,workshop@example.org,https://questkalender.example.org/level-up,abgeschlossen,
3,Retro Roundup: Konsolen der 90er,"Sechs Konsolengenerationen zum Ausprobieren, dazu ein Fun-Turnier ohne Wertung. Ein Reparaturtisch fuer eigene Geraete ist eingerichtet.",2026-07-15T16:00:00,2026-07-15T21:00:00,Europe/Berlin,Buergertreff Ost,"Beispielallee 9, 73728 Esslingen",48.7408,9.3182,Community,Retro-Fans;Technikteam;Familien,Verein Spielkultur Musterstadt,retro@example.org,https://questkalender.example.org/retro-roundup,abgeschlossen,
4,Nachtschicht LAN 24h,"Vierundzwanzig Stunden mit eigenem Rechner oder eigener Konsole. Stromverteilung und Netzwerk sind gestellt, Schlafbereich vorhanden.",2026-07-22T18:00:00,2026-07-23T18:00:00,Europe/Berlin,Halle 7 Musterstadt,"Industriestrasse 31, 73734 Esslingen",48.7284,9.3241,LAN-Party,Organisation;Teilnehmende;Technik;Catering,Nachtschicht Kollektiv,lan@example.org,https://questkalender.example.org/nachtschicht,abgeschlossen,
5,Tabletop-Abend: Kampagnenstart,"Offener Rollenspielabend fuer Neugierige und Erfahrene. Spielleitungen fuehren durch kurze Einstiegsabenteuer, Material ist vorhanden.",2026-07-27T19:00:00,2026-07-27T23:00:00,Europe/Berlin,Buergertreff Ost,"Beispielallee 9, 73728 Esslingen",48.7408,9.3182,Community,Spielleitungen;Gruppen;Neulinge,Verein Spielkultur Musterstadt,tabletop@example.org,https://questkalender.example.org/tabletop,abgeschlossen,
6,Musterstadt Game Convention,"Dreitaegige Messe mit Ausstellerflaechen, Vortragsbuehne und Turnierbereich. Tagestickets und Dauerkarten sind an der Abendkasse erhaeltlich.",2026-07-29T10:00:00,2026-07-31T18:00:00,Europe/Berlin,Messehalle Musterstadt,"Messeplatz 1, 73734 Esslingen",48.7269,9.3296,Convention,Aussteller;Besucher;Presse;Helfende,Convention Musterstadt gGmbH,convention@example.org,https://questkalender.example.org/convention,geplant,
7,Feierabend-Runde: Koop-Abend,"Offener Treff fuer gemeinsame Koop-Partien. Kein Turnier, keine Anmeldung, wechselnde Titel nach Absprache vor Ort.",2026-07-30T18:30:00,2026-07-30T22:00:00,Europe/Berlin,Quest Cafe Mitte,"Marktgasse 15, 73728 Esslingen",48.7395,9.3068,Community,Stammtisch;Gaeste,Quest Guild Musterstadt,koop@example.org,https://questkalender.example.org/feierabend,geplant,FREQ=WEEKLY;BYDAY=TH;COUNT=8
8,Sommer-Ligafinale,"Endspiele der Sommerliga in zwei Disziplinen, uebertragen auf Grossbildleinwand. Der Eintritt fuer Zuschauende ist frei.",2026-08-01T15:00:00,2026-08-01T20:00:00,Europe/Berlin,Quest Arena Nord,"Musterweg 4, 73728 Esslingen",48.7462,9.3011,Turnier,Finalteams;Schiedsrichter;Kommentatoren;Publikum,Liga Musterstadt,liga@example.org,https://questkalender.example.org/ligafinale,geplant,
9,Streaming-Werkstatt: Ton und Bild,"Praxiskurs zu Mikrofonwahl, Ausleuchtung und Szenenaufbau. Eigene Technik kann mitgebracht und eingerichtet werden.",2026-08-03T17:00:00,2026-08-03T20:30:00,Europe/Berlin,Werkstatt Digital,"Beispielstrasse 22, 73730 Esslingen",48.7351,9.2934,Workshop,Dozentinnen;Streamende;Technikteam,Digitalwerkstatt Musterstadt,stream@example.org,https://questkalender.example.org/streaming,geplant,
10,Brettspiel-Lounge am Wochenende,Offene Spielausleihe mit ueber zweihundert Titeln und Erklaerbaeren an jedem Tisch. Fuer Verpflegung ist gesorgt.,2026-08-05T14:00:00,2026-08-05T19:00:00,Europe/Berlin,Quest Cafe Mitte,"Marktgasse 15, 73728 Esslingen",48.7395,9.3068,Community,Erklaerteam;Familien;Vielspieler,Verein Spielkultur Musterstadt,brettspiel@example.org,https://questkalender.example.org/lounge,geplant,
11,Speedrun-Schaulauf zugunsten des Jugendtreffs,Laufende Bestzeitversuche mit Erlaeuterung der Strecken. Die Spendeneinnahmen gehen vollstaendig an den Jugendtreff.,2026-08-06T16:00:00,2026-08-06T23:00:00,Europe/Berlin,Buergertreff Ost,"Beispielallee 9, 73728 Esslingen",48.7408,9.3182,Sonstiges,Laufende;Moderation;Spendenteam,Jugendtreff Musterstadt,speedrun@example.org,https://questkalender.example.org/speedrun,geplant,
12,Nachtschicht LAN 48h,"Die grosse Ausgabe ueber zwei Naechte mit Turnierblock, Freispielflaeche und Fruehstuecksversorgung. Anmeldung erforderlich.",2026-08-14T16:00:00,2026-08-16T16:00:00,Europe/Berlin,Halle 7 Musterstadt,"Industriestrasse 31, 73734 Esslingen",48.7284,9.3241,LAN-Party,Organisation;Teilnehmende;Technik;Catering;Sanitaetsdienst,Nachtschicht Kollektiv,lan@example.org,https://questkalender.example.org/nachtschicht-48,geplant,
13,Herbstpokal Qualifikation,"Erste Qualifikationsrunde fuer den Herbstpokal. Gespielt wird im Modus doppelte Ausscheidung, Anmeldung bis eine Woche vorher.",2026-08-22T13:00:00,2026-08-22T19:00:00,Europe/Berlin,Quest Arena Nord,"Musterweg 4, 73728 Esslingen",48.7462,9.3011,Turnier,Teams;Schiedsrichter;Zuschauer,Liga Musterstadt,pokal@example.org,https://questkalender.example.org/herbstpokal,geplant,
14,Kostuemtreff und Werkstattschau,Vorstellung selbstgebauter Kostueme mit offener Bastelflaeche. Werkzeug und Material stehen zum Ausprobieren bereit.,2026-08-29T13:00:00,2026-08-29T18:00:00,Europe/Berlin,Buergertreff Ost,"Beispielallee 9, 73728 Esslingen",48.7408,9.3182,Community,Bastelnde;Fotoecke;Jury,Verein Spielkultur Musterstadt,kostuem@example.org,https://questkalender.example.org/kostuemtreff,geplant,
15,Programmierkurs: Spiellogik in vier Abenden,"Vierteilige Reihe von den Grundlagen bis zum lauffaehigen Prototyp. Der Kurs baut aufeinander auf, ein Einstieg ist nur am ersten Termin sinnvoll.",2026-09-05T18:00:00,2026-09-05T21:00:00,Europe/Berlin,Werkstatt Digital,"Beispielstrasse 22, 73730 Esslingen",48.7351,9.2934,Workshop,Dozentinnen;Kursgruppe,Digitalwerkstatt Musterstadt,kurs@example.org,https://questkalender.example.org/programmierkurs,geplant,FREQ=WEEKLY;BYDAY=SA;COUNT=4
16,Indie-Schaufenster Musterstadt,Praesentation regionaler Entwicklungsteams mit spielbaren Fassungen und offener Fragerunde. Rueckmeldungen der Besuchenden sind ausdruecklich erwuenscht.,2026-09-12T11:00:00,2026-09-12T19:00:00,Europe/Berlin,Messehalle Musterstadt,"Messeplatz 1, 73734 Esslingen",48.7269,9.3296,Convention,Entwicklungsteams;Besucher;Fachpublikum,Convention Musterstadt gGmbH,indie@example.org,https://questkalender.example.org/indie-schaufenster,geplant,
17,Herbstpokal Zwischenrunde,"Der Termin entfaellt, weil die Halle kurzfristig nicht zur Verfuegung steht. Ein Ersatztermin wird ueber die Ligaseite bekanntgegeben.",2026-09-19T13:00:00,2026-09-19T19:00:00,Europe/Berlin,Quest Arena Nord,"Musterweg 4, 73728 Esslingen",48.7462,9.3011,Turnier,Teams;Schiedsrichter,Liga Musterstadt,pokal@example.org,https://questkalender.example.org/herbstpokal,abgesagt,
